s2_full,s2_partial,l8_full,l8_partial
15;58;115,,77;78,76.0
68;111,,10,11.0
15;58,,78;79,77.0
113,70.0,43,44.0
86;129,29.0,71;72,
126,26.0,23,24.0
15;29;72;115,,74;75;76,77.0
15;72;115,29.0,74;75;76;77,
15;58;72;115,,75;76;77,78.0
15;72;115,58.0,75;76;77,
15;72;115,58.0,75;76;77;78,
15;72;115,58.0,75;76;77,78.0
27,70.0,41,40.0
127,27.0,39,40.0
57;100,,63;64,65.0
29;72;115,15.0,73;74;75;76,
15;29;72;115,,74;75;76,73.0
29;72;115,,74;75;76,73.0
29;72;115,15.0,74;75;76,
1;101,58.0,81;82;83,
1;58;101,,81;82,83
1;44;101,,82;83,81
15;58,,79;80,78
15;58,101.0,79;80,
58;101,,79;80,
58;101,15.0,79;80,
29;72;115;129,,72;73;74,75
29;72;115;129,,73;74;75,72
29;72;115,,73;74;75,76
29;72;115,,74;75;76,73
15;72;115,29.0,74;75;76,
15;72;115,,74;75;76,77
29;72,129.0,73;74,
29;72;129,,73;74,
29;72;129,,73;74,72
29;72,129.0,73;74,72
29;72;115,,74;75,73
28;71,114.0,58;59,
71;114,,59;60,58
28;71,,58;59,57
1;58;101,,80;81,79;82
128,28.0,55;56,
28;128,,55;56,57
140,40.0,18,19
29,,73;74,
29,,73,72
29,,73,
29,,73,74
29;72,,74,73
72,29.0,74;75,
72,115.0,74;75,
72;115,,75,
72;115,,75,74.0
72;115,,75,76.0
72;115,,76,
72;115,,76;77,
115,72.0,76;77,
72;115,,76,77.0
15;115,,77,
15;115,,77,76.0
15;115,,77,78.0
29;72;129,115.0,72;73;74,75.0
29;72;129,,73;74;75,
29;72,129.0,73;74;75,
29;72;129,,73;74,75.0
29;72;129,,72;73;74;75,
29;72;129,,73;74,72.0
15;58,,78;79,80.0
72;115,15.0,75;76,77.0
72;115,15.0,75;76;77,
72;115,,74;75,76.0
15;115,72.0,76;77,
29;86;129,,69;70;71,72.0
29;86;129,43.0,69;70;71,
72;115,15.0,75;76,74.0
28;128,,56,57.0
83,40.0,,20;21
41,141.0,35,36
28;128,85.0,55;56,
85;128,,55;56,54.0
85;128,28.0,55;56,
143,,68,
68,,9;10,
43;100;143,,64;65;66;67,
43;100;143,,65;66;67;68,
43;100;143,,66;67;68,65.0
43;57;100;143,,64;65;66;67,
40;83,,19;20,
43;57;100;143,,64;65;66,
14;57,,62;63,64.0
43;100;143,,65;66;67,68.0
45,,100,
2,,100,
28;71;114,,58;59,57.0
28;71,,58;59,57.0
43;86;143,100.0,66;67;68,
57;100;143,,64;65,66.0
71;114,,58;59,60.0
71;114,14.0,59;60,
43;86;129;143,,67;68;69,
43;143,100,66;67,
57;100,143,64;65,63
14;114,57,61;62,
28;71,,57;58,59
127,27,39;40,
98,141,33,32
28;71;114,,57;58;59,
43;100;143,,66;67;68,65
43;86,143,68;69,
14;114,71,59;60;61,
14;71;114,,59;60,61
43;143,86,67;68,69
43;143,86,67;68,
43;100;143,,65;66;67,64
43;100;143,86,66;67;68,
43;100;143,,64;65;66,
43;86;143,100,66;67;68,
100;143,43,65;66,
126,26;83,,21;22;23;24
43;100;143,,65;66;67,68
41,84,36,
1;44,,83;84,
28;71,114,58;59,57
14;57,,62;63,64
126,83,22,23
56;99,,48;49,
11,54,13;14,
27,70,40;41,
14;57,100,63,62;64
70,113,43,
28;71,114,58;59,
40,83,19;20,
14;57,100,63;64,62
2;45,,100,
43;100;143,,65;66,
14;114,,61;62,60
14;114,,60;61,62
126,83,22;23,
100;143,43,66;67,65
101,,81;82,
27;127,,39,
43;143,,68,
55,12,30;31,
68,111,10,
13,113,45,
27;127,,40,41
40;83,,20,19
28;85;128,,54;55;56,
1;101,58,81;82;83,
15;58,101,77;78;79,
14;114,,61,60;62
15;58,101,78;79,80
57;100,14,63;64,
1;101,,82;83,
43;100;143,57,64;65;66,
14;57,100,62;63;64,
15;72;115,58,76;77;78,
13,56,45;46,
28;85;128,,55;56,54
40,83,20,19
70,27,42,
57;100,,64,63;65
29;86;129,,70;71;72,69
15;115,,77,76
57;100;143,43,64;65;66,
100,57;143,64;65,66
43;57;100;143,,64;65;66,67
