s2_id,s2_acq_id,l8_9_id,l8_9_acq_id
15_58_115,2_4_5,76_77_78_79,16_2_7_9
1_101_58p,1_3_5p,81_82_83p,12_5_3p
1_101_58p,1_3_5p,81_82,12_5
15_58_115p,2_5_4p,77_78_79,16_7_9
15_58,2_5,78_79_77p,16_7_9p
15_58,2_5,78_79_80p,16_7_14p
15_58_101p,2_5_3p,78_79_80,14_16_7
72_115,1_4,75_76_77p,11_2_9p
15_115_58p,2_4_5p,77_78,16_9
72_115_15p,1_4_2p,75_76_77,11_2_9
15_115_72p,2_4_1p,76_77,2_9
15_72_115,1_2_4,76_77_75p,2_9_11p
72_115,1_4,75_76_77,11_2_9
15_115,2_4,77_78_76p,16_9_2p
72_115,1_4,74_75,11_4
72_115_15p,1_4_2p,75_76_77p,11_2_9p
29_72,1_3,73_74_72p,13_4_6p
1_44_87_101,1_2_3_4,82_83_84,10_12_3
1_44_87,1_2_4,83_84_85_82p,1_10_3_12p
1_44_87,1_2_4,83_84_85,1_10_3
1_44_87,1_2_4,82_83_84_85,1_10_12_3
72_115_29p,1_4_3p,74_75,11_4
29_72_115p,1_3_4p,73_74_75,11_13_4
1_44_58_101,1_3_4_5,81_82_83_80p,12_3_5_14p
1_15_58_101,1_2_3_5,78_79_80_81,14_16_5_7
15_58_101,2_3_5,78_79_80_81p,14_16_7_5p
15_58_101_1p,2_3_5_1p,78_79_80_81,14_16_5_7
1_15_58_101,1_2_3_5,79_80_81_78p,14_5_7_16p
1_15_58_101,1_2_3_5,79_80_81_82,12_14_5_7
1_58_101_15p,1_3_5_2p,79_80_81_82,12_14_5_7
1_58_101_44p,1_3_5_4p,80_81_82,12_14_5
15_58_115_72p,2_4_5_1p,76_77_78,16_2_9
15_58_101,2_3_5,79_80_81p,14_7_5p
1_58_101,1_3_5,80_81_82_83,12_14_3_5
1_58_101,1_3_5,81_82_83,12_3_5
1_15_58_101,1_2_3_5,79_80_81_82p,14_5_7_12p
1_44_101,1_3_4,82_83_84p,12_3_10p
1_101,1_3,81_82_83p,12_5_3p
15_58,2_5,79_80,14_7
15_58_101p,2_5_3p,79_80,14_7
29,3,72_73,13_6
29_72,1_3,74,4
29_72,1_3,74_75p,4_11p
72,1,74_75,11_4
72_29p,1_3p,74_75,11_4
115,4,76_77,2_9
29_72_115,1_3_4,74_75_76p,11_4_2p
54_97p,5_3p,15_16p,7_14p
140_97p,1_3p,17_18p,5_12p
82,2,5_4p,1_10p
82,2,4_5p,10_1p
84_127p,2_5p,37_38,1_8
84_127,2_5,38_39p,8_15p
100,3,66_65p,12_5p
15_29_72_115,1_2_3_4,74_75_76_73p,11_2_4_13p
29_86_129,2_3_5,70_71_72_73p,15_6_8_13p
85_128,2_5,54_53p,8_1p
85_128,2_5,54,8
85_128,2_5,54_55p,8_15p
85_128,2_5,55_56p,15_6p
85_128,2_5,55_56,15_6
128_85p,5_2p,55_56,15_6
85_128,2_5,55,15
85_128,2_5,55_54p,15_8p
85_128,2_5,55_54p_56p,15_6p_8p
85_128,2_5,54_55_56p,15_8_6p
85_128,2_5,54_55_56,15_6_8
85_128,2_5,55_56_54p,15_6_8p
128_28p,5_3p,55_56,15_6
128_85p,5_2p,55_56p,15_6p
12_55,2_5,30_29p,16_9p
12_55,2_5,30_31p,16_7p
83,2,22_21p,8_1p
13,2,46_45p,16_9p
12_55p,2_5p,29_30,16_9
28,3,56_57,13_6
28_128p,3_5p,56_57,13_6
28_71_128p,1_3_5p,56_57,13_6
28_128_71p,3_5_1p,56_57,13_6
11,2,13_12p,9_2p
11,2,13_14p,9_16p
127_84p,5_2p,38p_39p,15p_8p
27_127p,3_5p,40_41p,6_13p
40_140,1_4,18,12
140_40p,1_4p,18,12
40_140,1_4,18_19p,12_3p
41_141p,4_1p,35_36,10_3
41_141,1_4,35_36p,3_10p
12_112p,2_4p,29_28p_30p,9_16p_2p
56_99,3_5,48_47p,14_7p
56,5,47_48p,7_14p
41_84p,4_2p,36_37,1_10
113_13p,4_2p,44_45,2_9
127_84p,5_2p,38_39p,8_15p
15_115_72p,2_4_1p,76_77_78,16_2_9
15_58_101p_115p,2_5_3p_4p,78_79_77p_80p,16_7_14p_9p
58_101_15p,3_5_2p,79_80_81,14_5_7
58_101_1p,3_5_1p,79_80_81,14_5_7
15_58_101p,2_5_3p,78_79,16_7
29_72_129,1_3_5,71_72_73_74p,13_15_6_4p
29_72_129_115p,1_3_5_4p,72_73_74,13_4_6
29_72_115_129,1_3_4_5,72_73_74_75p,13_4_6_11p
29_72_129_86p,1_3_5_2p,71_72_73,13_15_6
15_72_115,1_2_4,75_76_77_78,11_16_2_9
15_72_115,1_2_4,74_75_76_77p,11_2_4_9p
29_86_129,2_3_5,71_72_70p,15_6_8p
29_129_86p,3_5_2p,71_72_73p,15_6_13p
86_129_29p,2_5_3p,70_71,15_8
86_129_29p,2_5_3p,70_71_72,15_6_8
55_98,3_5,32_31p,14_7p
98_55p,3_5p,32,14
55,5,31_32,14_7
55_98p,5_3p,31_32,14_7
86_129_43p,2_5_4p,69_70,1_8
86_129,2_5,69_70,1_8
86,2,69_70,1_8
86_129p,2_5p,69_70,1_8
86_43p,2_4p,69_70,1_8
86_129,2_5,69_70_71p,1_8_15p
100_143,1_3,65_66_67p,12_5_3p
100_143_43p,1_3_4p,65_66_67,12_3_5
15_58_101,2_3_5,78_79_80_77p,14_16_7_9p
15_58_101_115p,2_3_5_4p,77_78_79_80,14_16_7_9
15_58_101_115,2_3_4_5,77_78_79_80p,16_7_9_14p
15_58_115_72p,2_4_5_1p,76_77_78_79p,16_2_9_7p
15_58_115,2_4_5,76_77_78_79p,16_2_9_7p
15_72_115_58p,1_2_4_5p,75_76_77_78,11_16_2_9
15_58_115_72p_101p,2_4_5_1p_3p,76_77_78_79p,16_2_9_7p
15_58_101_115,2_3_4_5,77_78_79_76p,16_7_9_2p
15_58_115_101p,2_4_5_3p,76_77_78_79,16_2_7_9
15_58_101_115,2_3_4_5,76_77_78_79,16_2_7_9
15_58_115_101p,2_4_5_3p,77_78_79_76p,16_7_9_2p
15_58_115_101p,2_4_5_3p,77_78_79,16_7_9
15_58_115,2_4_5,77_78_79_76p,16_7_9_2p
15_58_101_115p,2_3_5_4p,78_79_80_77p,14_16_7_9p
98,3,33_32p,5_14p
55_12p,5_2p,30_31,16_7
27,3,41_40p,13_6p
12_55p,2_5p,30,16
55,5,31_30p,7_16p
55,5,30_31p,16_7p
55_12p,5_2p,30,16
70,1,42_43p,4_11p
29_72_129p,1_3_5p,72_73_74p,13_6_4p
29_72p_129p,3_1p_5p,72_73_74p,13_6_4p
29_72,1_3,72_73_74p,13_6_4p
29_72p_129p,3_1p_5p,72_73,13_6
29_129p,3_5p,72_73,13_6
29_72p,3_1p,72_73_74p,13_6_4p
29,3,72_73_74p,13_6_4p
29_72p,3_1p,72_73_74,13_4_6
55,5,31_32p,7_14p
55_98,3_5,31,7
55_98,3_5,31_32p,7_14p
55_98p,5_3p,31,7
27_70p,3_1p,41,13
69_112p,1_4p,27_26p,11_4p
13_56,2_5,46_47p,16_7p
83_126p,2_5p,22_21p,8_1p
141,1,34_35p,12_3p
27,3,40_41p,6_13p
13_56,2_5,46_45p,16_9p
13_56p,2_5p,45_46,16_9
126_83p,5_2p,22_23,15_8
126_83p,5_2p,22_23p,8_15p
13_56p,2_5p,46_45p,16_9p
27_70,1_3,40_41,13_6
27_70,1_3,41_40p,13_6p
27_127,3_5,40_41,13_6
27_127,3_5,40_41p,6_13p
27_127,3_5,40_39p,6_15p
127_27p,5_3p,39_40,15_6
97_140p,3_1p,17_16p,5_14p
70,1,41_42,13_4
113_13p,4_2p,44_45p,2_9p
70_27p,1_3p,42_41p,4_13p
128_85p,5_2p,55,15
128,5,55,15
128,5,55_56p,15_6p
70,1,42_41p,4_13p
98_141,1_3,32_33,14_5
98_141p,3_1p,32_33,14_5
27_70p,3_1p,40_41,13_6
27_127p,3_5p,40_41,13_6
113_70p,4_1p,43_44,11_2
98_141,1_3,33_32p,5_14p
141,1,35_34p,3_12p
70_27p,1_3p,41_42,13_4
83_40p,2_4p,21_20p,1_10p
27_70,1_3,42_41p,4_13p
70_27p,1_3p,42,4
27_70,1_3,42,4
140_40p,1_4p,18p_19p,12p_3p
41_84p,4_2p,36_37p,10_1p
141_41p,1_4p,35,3
70_113p,1_4p,43_42p,11_4p
70_113p,1_4p,42_43,11_4
41,4,36_37p,10_1p
113_13p,4_2p,44,2
43_86_143p,2_4_1p,68_69,1_10
68_111,1_4,11,11
111_68p,4_1p,11,11
68_111,1_4,11_10p,11_4p
13_113p,2_4p,45_46p,9_16p
98_55p,3_5p,32_31p_33p,14_5p_7p
70_113p,1_4p,43,11
55_98p,5_3p,31_30p_32p,7_14p_16p
55_12p,5_2p,30_31p,16_7p
113_13p,4_2p,44_43p_45p,2_11p_9p
68,1,10,4
68_111p,1_4p,10,4
68_111,1_4,10_11p,4_11p
111_68p,4_1p,11_10p,11_4p
113_13p,4_2p,44p_45p,2p_9p
41_141p,4_1p,35_36p,3_10p
56_13p,5_2p,47_46p,7_16p
143,1,67,3
56_99p,5_3p,47_48p,7_14p
57_100_143,1_3_5,64_65_63p,14_5_7p
43_86_143,1_2_4,68_69_67p,1_10_3p
43_86_129,2_4_5,69_70_71p,1_8_15p
43_86_129,2_4_5,69_70_68p,1_8_10p
43_86_129_29p,2_4_5_3p,69_70_71,1_15_8
57_100_143,1_3_5,63_64_65,14_5_7
43_143_100p,1_4_3p,66_67,12_3
39,4,3_4,10_3
39,4,4_3p,10_3p
57_100_143,1_3_5,64_65_66p,14_5_12p
43_143_86p,1_4_2p,67_68,10_3
29_129_86p,3_5_2p,71_72_73,13_15_6
29_129_72p,3_5_1p,71_72_73,13_15_6
29_72_129,1_3_5,72_73_71p,13_6_15p
43_86_100_143,1_2_3_4,66_67_68,10_12_3
43_86_143,1_2_4,66_67_68_69,1_10_12_3
43_86_143,1_2_4,66_67_68_69p,10_12_3_1p
