gnis_id,gnis_name
00384860,Little Hoodoo Creek
02568937,Lateral C-59
00399035,Elbow Creek
00392311,Trail Creek
00789725,Rocky Creek
00780840,Camp Creek
00393131,West Fork Lake Creek
00396881,Merry Creek
00779590,Beaver Creek
00379847,Cottonwood Creek
00384685,Linda Creek
00391373,Station Creek
00768663,Beech Creek
00381995,Fox Creek
00780478,Bruin Creek
00787400,Miller Creek
00392291,Trail Creek
00792776,Wallace Creek
00387742,North Fork Mud Creek
00391995,Thiesen Creek
00392890,Warm Springs Creek
00391624,Summit Creek
00395734,Dog Creek Reservoir
02568970,Lateral L-29
00380934,Dump Creek
00390504,Sixteen-to-one Creek
00781907,Cromie Creek
00377320,Bell Creek
00384039,Julie Creek
00380411,Deer Creek
00386850,Middle Fork Split Creek
00801894,Fork Creek
00801904,Thunder Creek
00399863,East Fork Wood River
00372654,Fall Creek
00785645,Keeler Creek
00388679,Pole Creek
00376073,Jacks Creek
00387270,Moss Creek
00788306,North Swamp Creek
01508282,Sheets Creek
00393924,Dry Fork Little Cottonwood Creek
00375830,West Main Canal
00382120,Fryingpan Creek
00399637,West Fork Rooney Creek
02569137,Lateral S-39
02517359,J 2 Lateral
00378551,Burnt Creek
00791493,Sterling Creek
00384851,Little Grizzly Creek
01525297,Russian Creek
01588430,Ferris Fork
00792087,Thompson Creek
00387810,North Fork Whitehawk Creek
00386987,Mine Ditch
00378122,Boundary Creek
00384553,Leggett Creek
01522314,Little Tacoma Creek
00393628,Wolf Fang Creek
02569148,Lateral U-5
00387768,North Fork Sage Creek
00806995,West Mountain Creek
00379096,Cedar Creek
00373118,Home Sweet Home Creek
00381996,Fox Creek
00392012,Thirteen Creek
00786323,Little Marion Creek
00801796,Little Sunday Creek
00387028,Minnesaka Creek
00393510,Willow Creek
00781975,Cub Creek
00391705,Swamp Creek
00400430,Taffy Creek
00388490,Pine Creek
00399189,Reservoir Creek
00388641,Poison Creek
00791193,Fletcher Creek
00378763,Camp Creek
00388263,Patrick Creek
00374356,Pegram Creek
00373035,Heifer Springs Creek
00379224,Cherry Creek
00381245,Ecklund Creek
00376930,Banner Creek
00786669,Lower Ditch
02548082,G 15 D Lateral
00380509,Denny Creek
00379509,Cold Creek
00391378,Station Creek
00379471,Coal Pit Creek
00784498,Hamilton Creek
00374972,Shavrer Lateral
00380145,Cub Creek
00779382,Barrett Creek
00381802,Fivemile Creek
00782097,David Creek
00400396,Trespass Creek
00382730,Grouse Creek
01603304,Squaw Creek
00380514,Dentene Creek
00393054,West Fork Big Ramey Creek
00390901,South Fork Cat Creek
01590797,Little Firehole River
00384859,Little Hole in the Wall Creek
00388498,Pine Creek
00371454,Bennett Lateral
00371393,Beal Lateral
00392185,Tinkle Creek
00380601,Dipper Creek
00382985,Hayden Creek
00373886,McKevitt Ditch
00791368,Sun Creek
00786982,McAtee Creek
00786983,McBride Creek
00372722,Flat Creek
